time,temperature,humidity,wind_speed,heat_index_simple
2025-01-01T00:00,6.9,99,4.2,11.850000000000001
2025-01-01T01:00,6.4,100,4.7,11.4
2025-01-01T02:00,6.3,100,5.4,11.3
2025-01-01T03:00,6.7,99,6.0,11.65
2025-01-01T04:00,6.6,99,8.7,11.55
2025-01-01T05:00,6.8,98,8.5,11.7
2025-01-01T06:00,7.8,98,7.1,12.7
2025-01-01T07:00,8.0,98,7.3,12.9
2025-01-01T08:00,8.3,99,9.7,13.25
2025-01-01T09:00,9.5,96,11.0,14.3
2025-01-01T10:00,11.5,87,12.2,15.850000000000001
2025-01-01T11:00,13.6,77,11.9,17.45
2025-01-01T12:00,15.0,72,10.6,18.6
2025-01-01T13:00,16.1,68,9.9,19.5
2025-01-01T14:00,16.8,67,9.5,20.150000000000002
2025-01-01T15:00,16.9,67,9.4,20.25
2025-01-01T16:00,16.3,71,7.2,19.85
2025-01-01T17:00,13.1,85,6.1,17.35
2025-01-01T18:00,10.0,91,5.5,14.55
2025-01-01T19:00,9.2,94,6.7,13.899999999999999
2025-01-01T20:00,8.9,95,6.9,13.65
2025-01-01T21:00,8.6,96,6.8,13.4
2025-01-01T22:00,8.4,96,6.7,13.200000000000001
2025-01-01T23:00,8.1,97,6.6,12.95
2025-01-02T00:00,8.0,97,6.7,12.850000000000001
2025-01-02T01:00,7.7,97,6.6,12.55
2025-01-02T02:00,7.6,98,6.8,12.5
2025-01-02T03:00,7.9,98,9.4,12.8
2025-01-02T04:00,7.9,97,9.2,12.75
2025-01-02T05:00,8.3,97,10.1,13.150000000000002
2025-01-02T06:00,8.6,97,10.3,13.45
2025-01-02T07:00,8.7,96,10.4,13.5
2025-01-02T08:00,9.9,93,12.0,14.55
2025-01-02T09:00,11.5,88,9.4,15.9
2025-01-02T10:00,13.2,81,9.0,17.25
2025-01-02T11:00,15.1,73,8.5,18.75
2025-01-02T12:00,16.7,67,8.4,20.05
2025-01-02T13:00,18.0,64,9.2,21.2
2025-01-02T14:00,18.7,62,10.2,21.8
2025-01-02T15:00,18.8,62,10.6,21.900000000000002
2025-01-02T16:00,17.9,68,7.6,21.299999999999997
2025-01-02T17:00,14.6,82,7.1,18.7
2025-01-02T18:00,11.7,88,6.8,16.1
2025-01-02T19:00,11.0,90,6.5,15.5
2025-01-02T20:00,10.3,93,6.4,14.950000000000001
2025-01-02T21:00,9.6,95,5.5,14.35
2025-01-02T22:00,9.1,97,4.2,13.95
2025-01-02T23:00,8.4,99,4.3,13.350000000000001
2025-01-03T00:00,8.2,99,4.7,13.149999999999999
2025-01-03T01:00,8.0,99,5.5,12.95
2025-01-03T02:00,7.6,99,6.7,12.55
2025-01-03T03:00,7.6,99,6.7,12.55
2025-01-03T04:00,7.3,99,6.3,12.25
2025-01-03T05:00,7.4,99,6.9,12.350000000000001
2025-01-03T06:00,9.0,98,5.0,13.9
2025-01-03T07:00,9.0,97,5.2,13.850000000000001
2025-01-03T08:00,9.4,96,6.3,14.200000000000001
2025-01-03T09:00,10.7,94,6.3,15.399999999999999
2025-01-03T10:00,12.1,92,5.7,16.7
2025-01-03T11:00,14.7,82,4.8,18.8
2025-01-03T12:00,17.1,71,5.6,20.650000000000002
2025-01-03T13:00,18.9,62,6.4,22.0
2025-01-03T14:00,19.7,60,6.7,22.7
2025-01-03T15:00,19.8,61,6.7,22.85
2025-01-03T16:00,18.5,71,4.6,22.05
2025-01-03T17:00,15.2,81,6.8,19.25
2025-01-03T18:00,12.5,87,6.4,16.85
2025-01-03T19:00,11.4,90,6.4,15.9
2025-01-03T20:00,10.6,92,5.8,15.2
2025-01-03T21:00,9.9,93,5.5,14.55
2025-01-03T22:00,9.2,96,5.3,14.0
2025-01-03T23:00,8.5,99,5.2,13.45
2025-01-04T00:00,8.0,100,6.1,13.0
2025-01-04T01:00,7.8,100,6.7,12.8
2025-01-04T02:00,7.7,99,6.6,12.65
2025-01-04T03:00,7.4,98,6.4,12.3
2025-01-04T04:00,7.3,98,5.9,12.2
2025-01-04T05:00,7.4,98,4.7,12.3
2025-01-04T06:00,7.5,97,1.5,12.350000000000001
2025-01-04T07:00,7.7,97,0.6,12.55
2025-01-04T08:00,9.1,92,1.5,13.7
2025-01-04T09:00,10.5,97,1.8,15.350000000000001
2025-01-04T10:00,11.4,95,2.5,16.15
2025-01-04T11:00,13.4,92,3.6,18.0
2025-01-04T12:00,16.5,79,3.9,20.45
2025-01-04T13:00,18.7,68,3.9,22.1
2025-01-04T14:00,19.8,62,3.4,22.900000000000002
2025-01-04T15:00,20.0,63,3.9,23.15
2025-01-04T16:00,18.8,78,3.1,22.700000000000003
2025-01-04T17:00,15.4,83,5.2,19.55
2025-01-04T18:00,11.6,93,6.9,16.25
2025-01-04T19:00,10.9,94,7.0,15.600000000000001
2025-01-04T20:00,10.2,95,7.0,14.95
2025-01-04T21:00,9.7,96,7.1,14.5
2025-01-04T22:00,9.3,96,7.0,14.100000000000001
2025-01-04T23:00,8.7,96,6.9,13.5
2025-01-05T00:00,8.2,96,6.5,13.0
2025-01-05T01:00,7.8,98,5.3,12.7
2025-01-05T02:00,7.4,100,4.4,12.4
2025-01-05T03:00,7.2,100,3.1,12.2
2025-01-05T04:00,7.1,100,3.3,12.1
2025-01-05T05:00,7.6,99,4.4,12.55
2025-01-05T06:00,8.2,99,6.0,13.149999999999999
2025-01-05T07:00,8.1,98,6.4,13.0
2025-01-05T08:00,8.8,99,10.5,13.75
2025-01-05T09:00,10.0,98,9.3,14.9
2025-01-05T10:00,11.7,89,9.7,16.15
2025-01-05T11:00,14.1,81,7.4,18.15
2025-01-05T12:00,16.1,75,6.6,19.85
2025-01-05T13:00,17.6,71,7.2,21.150000000000002
2025-01-05T14:00,18.4,69,7.2,21.849999999999998
2025-01-05T15:00,18.5,70,7.2,22.0
2025-01-05T16:00,17.7,75,7.2,21.45
2025-01-05T17:00,14.6,88,7.2,19.0
2025-01-05T18:00,12.3,92,7.5,16.900000000000002
2025-01-05T19:00,11.5,94,7.3,16.2
2025-01-05T20:00,10.9,94,7.2,15.600000000000001
2025-01-05T21:00,10.4,95,7.2,15.15
2025-01-05T22:00,9.8,95,6.7,14.55
2025-01-05T23:00,9.4,97,5.2,14.25
2025-01-06T00:00,9.2,98,4.3,14.1
2025-01-06T01:00,8.9,99,3.6,13.850000000000001
2025-01-06T02:00,8.2,100,5.2,13.2
2025-01-06T03:00,8.5,100,6.7,13.5
2025-01-06T04:00,8.5,100,4.7,13.5
2025-01-06T05:00,8.4,99,5.2,13.350000000000001
2025-01-06T06:00,9.8,98,2.0,14.700000000000001
2025-01-06T07:00,10.0,98,1.9,14.9
2025-01-06T08:00,10.4,98,13.9,15.3
2025-01-06T09:00,11.7,96,1.7,16.5
2025-01-06T10:00,13.5,90,2.8,18.0
2025-01-06T11:00,15.4,83,0.9,19.55
2025-01-06T12:00,17.0,76,1.3,20.8
2025-01-06T13:00,18.0,70,2.2,21.5
2025-01-06T14:00,18.6,68,5.4,22.0
2025-01-06T15:00,18.6,66,9.4,21.900000000000002
2025-01-06T16:00,17.9,70,8.9,21.4
2025-01-06T17:00,15.4,81,8.2,19.45
2025-01-06T18:00,13.1,89,9.9,17.55
2025-01-06T19:00,12.2,92,7.8,16.8
2025-01-06T20:00,11.7,93,7.9,16.35
2025-01-06T21:00,11.5,94,8.6,16.2
2025-01-06T22:00,11.4,95,10.2,16.15
2025-01-06T23:00,11.4,96,10.9,16.200000000000003
2025-01-07T00:00,11.3,96,11.4,16.1
2025-01-07T01:00,11.0,96,11.8,15.8
2025-01-07T02:00,10.8,97,12.2,15.650000000000002
2025-01-07T03:00,10.6,97,11.5,15.45
2025-01-07T04:00,10.4,97,11.9,15.25
2025-01-07T05:00,10.2,97,12.1,15.05
2025-01-07T06:00,11.3,99,13.9,16.25
2025-01-07T07:00,11.2,99,13.2,16.15
2025-01-07T08:00,11.5,98,12.5,16.4
2025-01-07T09:00,12.1,95,12.9,16.85
2025-01-07T10:00,13.4,89,12.5,17.85
2025-01-07T11:00,14.8,83,13.6,18.950000000000003
2025-01-07T12:00,16.4,75,15.9,20.15
2025-01-07T13:00,18.1,66,16.8,21.400000000000002
2025-01-07T14:00,18.4,64,14.9,21.599999999999998
2025-01-07T15:00,18.1,66,13.5,21.400000000000002
2025-01-07T16:00,17.3,70,12.2,20.8
2025-01-07T17:00,15.2,79,11.0,19.15
2025-01-07T18:00,12.9,89,8.3,17.35
2025-01-07T19:00,12.3,91,8.6,16.85
2025-01-07T20:00,11.8,93,9.7,16.450000000000003
2025-01-07T21:00,11.4,94,10.1,16.1
2025-01-07T22:00,11.0,94,10.1,15.7
2025-01-07T23:00,10.6,94,10.0,15.3
2025-01-08T00:00,10.1,93,10.1,14.75
2025-01-08T01:00,9.6,93,10.2,14.25
2025-01-08T02:00,9.2,92,10.5,13.8
2025-01-08T03:00,8.9,91,11.5,13.45
2025-01-08T04:00,8.8,91,12.4,13.350000000000001
2025-01-08T05:00,8.6,90,12.5,13.1
2025-01-08T06:00,8.7,92,12.0,13.3
2025-01-08T07:00,8.5,91,11.9,13.05
2025-01-08T08:00,9.8,86,12.8,14.100000000000001
2025-01-08T09:00,11.8,79,10.8,15.75
2025-01-08T10:00,13.9,69,11.5,17.35
2025-01-08T11:00,15.9,62,12.1,19.0
2025-01-08T12:00,17.4,56,13.7,20.2
2025-01-08T13:00,18.5,50,14.9,21.0
2025-01-08T14:00,18.9,47,15.5,21.25
2025-01-08T15:00,18.6,48,13.9,21.0
2025-01-08T16:00,17.5,55,9.8,20.25
2025-01-08T17:00,14.3,67,7.9,17.650000000000002
2025-01-08T18:00,12.6,76,7.7,16.4
2025-01-08T19:00,11.5,81,7.5,15.55
2025-01-08T20:00,10.5,84,6.9,14.7
2025-01-08T21:00,9.8,86,6.1,14.100000000000001
2025-01-08T22:00,9.1,88,5.3,13.5
2025-01-08T23:00,8.5,90,5.4,13.0
2025-01-09T00:00,7.9,92,4.8,12.5
2025-01-09T01:00,7.6,92,2.9,12.2
2025-01-09T02:00,7.4,92,2.0,12.0
2025-01-09T03:00,6.9,94,4.0,11.600000000000001
2025-01-09T04:00,6.5,95,4.6,11.25
2025-01-09T05:00,6.3,96,3.4,11.100000000000001
2025-01-09T06:00,5.4,100,2.9,10.4
2025-01-09T07:00,5.1,100,4.4,10.1
2025-01-09T08:00,6.7,97,4.0,11.55
2025-01-09T09:00,9.3,94,3.3,14.0
2025-01-09T10:00,11.2,93,3.9,15.85
2025-01-09T11:00,14.2,80,3.9,18.2
2025-01-09T12:00,16.3,67,3.4,19.650000000000002
2025-01-09T13:00,17.6,58,2.1,20.5
2025-01-09T14:00,18.2,54,1.6,20.9
2025-01-09T15:00,18.3,52,2.9,20.900000000000002
2025-01-09T16:00,17.4,69,2.3,20.849999999999998
2025-01-09T17:00,14.8,68,1.9,18.200000000000003
2025-01-09T18:00,13.4,75,0.6,17.15
2025-01-09T19:00,11.9,81,0.7,15.95
2025-01-09T20:00,10.7,85,0.7,14.95
2025-01-09T21:00,9.6,89,1.3,14.05
2025-01-09T22:00,8.9,92,1.9,13.5
2025-01-09T23:00,8.4,93,1.4,13.05
2025-01-10T00:00,7.8,94,1.7,12.5
2025-01-10T01:00,7.2,97,1.6,12.05
2025-01-10T02:00,6.7,99,1.5,11.65
2025-01-10T03:00,6.6,99,0.7,11.55
2025-01-10T04:00,6.6,98,0.4,11.5
